Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,month,weekofyear,year,week_sin,week_cos,is_black_friday,is_christmas,is_easter,is_summer_sale,Facebook_Impressions_adstock,Facebook_Impressions_lag_1,Google_Impressions_adstock,Google_Impressions_lag_1,Email_Impressions_adstock,Email_Impressions_lag_1,Affiliate_Impressions_adstock,Affiliate_Impressions_lag_1,Paid_Views_adstock,Paid_Views_lag_1
O,2018-01-06,185,222,669,1440437.389,230891,63602,582,195068,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,381854.2998352051,200753.0,1420.4332218170166,838.0,2195831.9978025146,889099.7984,110529.43383312225,59951.0,850.0913772583008,774.0
R,2018-01-06,128,343,853,198278.8717,31291,7732,952,60119,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,222218.14991760254,230891.0,1563.2166109085083,669.0,1296194.8706012573,1440437.389,62996.71691656113,63602.0,553.0456886291504,185.0
P,2018-01-06,479,128,845,583774.9932,92867,31918,189,67635,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,203976.07495880127,31291.0,1626.6083054542542,853.0,1231872.4285006286,198278.8717,63416.35845828056,7732.0,755.5228443145752,128.0
Z,2018-01-06,887,376,940,512646.3434,89989,26445,317,60627,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,191977.03747940063,92867.0,1753.304152727127,845.0,1128582.5576503142,583774.9932,58153.17922914028,31918.0,1264.7614221572876,479.0
B,2018-01-06,167,782,708,2567847.521,667172,95360,579,519479,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,763160.5187397003,89989.0,1584.6520763635635,940.0,3132138.799825157,512646.3434,124436.58961457014,26445.0,799.3807110786438,887.0
Q,2018-01-06,189,740,888,647195.5485,148616,41530,348,102692,1,1,2018,0.12053668025532305,0.992708874098054,0,0,0,0,530196.2593698502,667172.0,1680.3260381817818,708.0,2213264.9484125786,2567847.521,103748.29480728507,95360.0,588.6903555393219,167.0
M,2018-01-13,444,735,71,671381.5308,15107,28966,885,64831,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,280205.1296849251,148616.0,911.1630190908909,888.0,1778014.005006289,647195.5485,80840.14740364254,41530.0,738.345177769661,189.0
E,2018-01-13,388,947,287,1972258.722,56230,75256,278,335705,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,196332.56484246254,15107.0,742.5815095454454,71.0,2861265.7245031446,671381.5308,115676.07370182127,28966.0,757.1725888848305,444.0
A,2018-01-13,787,904,110,506270.2176,11804,9499,853,56806,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,109970.28242123127,56230.0,481.2907547727227,287.0,1936903.0798515724,1972258.722,67337.03685091063,75256.0,1165.5862944424152,388.0
J,2018-01-13,948,429,226,552014.3451,10662,19701,83,54685,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,65647.14121061563,11804.0,466.64537738636136,110.0,1520465.8850257862,506270.2176,53369.51842545532,9499.0,1530.7931472212076,787.0
S,2018-01-13,567,321,434,1286652.231,36025,55763,637,130139,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,68848.57060530782,10662.0,667.3226886931807,226.0,2046885.173512893,552014.3451,82447.75921272766,19701.0,1332.3965736106038,948.0
O,2018-01-13,726,16,105,2085198.712,42377,56199,752,196842,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,76801.28530265391,36025.0,438.66134434659034,434.0,3108641.2987564467,1286652.231,97422.87960636383,55763.0,1392.198286805302,567.0
H,2018-01-13,856,260,111,516581.6084,14883,16324,993,53636,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,53283.642651326954,42377.0,330.33067217329517,105.0,2070902.2577782234,2085198.712,65035.439803181915,56199.0,1552.099143402651,726.0
Z,2018-01-13,286,296,111,740733.4401,15233,25077,298,78949,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,41874.82132566348,14883.0,276.1653360866476,111.0,1776184.5689891116,516581.6084,57594.71990159096,16324.0,1062.0495717013255,856.0
V,2018-01-13,84,81,868,1665970.431,35447,55217,574,168660,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,56384.41066283174,15233.0,1006.0826680433238,111.0,2554062.715494556,740733.4401,84014.35995079548,25077.0,615.0247858506627,286.0
B,2018-01-13,552,143,441,3715496.894,103319,82360,502,501041,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,131511.20533141587,35447.0,944.0413340216619,868.0,4992528.251747278,1665970.431,124367.17997539774,55217.0,859.5123929253314,84.0
Q,2018-01-13,762,631,359,936078.6228,27617,34784,419,102975,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,93372.60266570793,103319.0,831.020667010831,441.0,3432342.748673639,3715496.894,96967.58998769887,82360.0,1191.7561964626657,552.0
I,2018-01-13,745,187,438,743243.1377,15905,33371,904,71145,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,62591.30133285397,27617.0,853.5103335054155,359.0,2459414.5120368195,936078.6228,81854.79499384944,34784.0,1340.8780982313328,762.0
F,2018-01-13,726,45,99,662209.4428,15831,31333,913,82300,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,47126.650666426984,15905.0,525.7551667527077,438.0,1891916.6988184098,743243.1377,72260.39749692472,33371.0,1396.4390491156664,745.0
W,2018-01-13,339,527,582,720662.515,12742,31652,756,69788,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,36305.32533321349,15831.0,844.8775833763539,99.0,1666620.864409205,662209.4428,67782.19874846237,31333.0,1037.2195245578332,726.0
R,2018-01-13,528,186,951,286675.2736,4953,6687,468,52635,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,23105.662666606746,12742.0,1373.438791688177,582.0,1119985.7058046025,720662.515,40578.099374231184,31652.0,1046.6097622789166,339.0
